강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,0912001-23,대학 글쓰기,이상희,"목01 ,02 ,03 [N13-403(59-403)]",3,,,37,45,4.05
교양선택,전학년,0912001-24,대학 글쓰기,장충덕,"목07 ,08 ,09 [N13-304(59-304)]",3,,,44,45,4.07
교양선택,전학년,0912001-25,대학 글쓰기,이지원,"금02 ,03 ,04 [N7-303]",3,,,40,45,4.35
교양선택,전학년,0912001-26,대학 글쓰기,마희정,"토01 ,02 ,03 [N14-104(56-104)]",3,,,7,45,3.07
교양선택,전학년,0912001-27,대학 글쓰기,이익성,"화01 ,02 ,03 [N13-304(59-304)]",3,,,34,45,0
교양선택,전학년,0912001-28,대학 글쓰기,마희정,"금05 ,06 ,07 [N14-204(56-204)]",3,,,3,45,3.07
교양선택,전학년,0911001-01,역사와 비판적 사고,김다솜,"월02 ,03 ,04 [N13-104(59-104)]",3,,,35,45,0
교양선택,전학년,0911002-01,차이와 비판적 사고,황은영,"월02 ,03 ,04 [N14-109(56-109)]",3,,,49,45,0
교양선택,전학년,0911001-02,역사와 비판적 사고,이상화,"월06 ,07 ,08 [N14-109(56-109)]",3,,,33,45,4
교양선택,전학년,0911002-02,차이와 비판적 사고,박정연,"월06 ,07 ,08 [N13-104(59-104)]",3,,,42,45,2.62
교양선택,전학년,0911001-03,역사와 비판적 사고,이수진,"화04 ,05 ,06 [N14-108(56-108)]",3,,,37,45,4.3
교양선택,전학년,0911002-03,차이와 비판적 사고,이상화,"화01 ,02 ,03 [N14-108(56-108)]",3,,,50,45,4.24
교양선택,전학년,0911001-04,역사와 비판적 사고,이상화,"화07 ,08 ,09 [N14-108(56-108)]",3,,,44,45,4
교양선택,전학년,0911002-04,차이와 비판적 사고,양희진,"수01 ,02 ,03 [N13-104(59-104)]",3,,,45,45,3.82
교양선택,전학년,0911001-05,역사와 비판적 사고,이상화,"수01 ,02 ,03 [N14-207(56-207)]",3,,,45,45,4
교양선택,전학년,0911002-05,차이와 비판적 사고,서대원,"화07 ,08 ,09 [N14-109(56-109)]",3,,,29,45,2.46
교양선택,전학년,0911001-06,역사와 비판적 사고,김동수,"수07 ,08 ,09 [N14-703(56-703)]",3,,,43,45,3.93
교양선택,전학년,0911002-06,차이와 비판적 사고,김동수,"수04 ,05 ,06 [N14-207(56-207)]",3,,,39,45,4.24
교양선택,전학년,0911001-07,역사와 비판적 사고,문안나,"금04 ,05 ,06 [N14-109(56-109)]",3,,,29,45,0
교양선택,전학년,0911002-07,차이와 비판적 사고,문안나,"목01 ,02 ,03 [N15-245(57-245)]",3,,,33,45,2.16
교양선택,전학년,0911001-08,역사와 비판적 사고,황은영,"목07 ,08 ,09 [N14-204(56-204)]",3,,,48,45,5
교양선택,전학년,0911002-08,차이와 비판적 사고,신은경,"금04 ,05 ,06 [N14-207(56-207)]",3,,,34,45,3.88
교양선택,전학년,0911001-09,역사와 비판적 사고,황은영,"목04 ,05 ,06 [E8-7-440(50-440)]",3,,,38,45,0
교양선택,전학년,0911002-09,차이와 비판적 사고,박승권,"목07 ,08 ,09 [N13-104(59-104)]",3,,,41,45,4.08
교양선택,전학년,0911001-10,역사와 비판적 사고,최원호,"수03 ,04 ,05 [N16-1-125(58-125)]",3,,,44,45,4.63
교양선택,전학년,0911002-10,차이와 비판적 사고,양희진,"수07 ,08 ,09 [N13-104(59-104)]",3,,,48,45,3.82
교양선택,전학년,0911001-11,역사와 비판적 사고,서대원,"수06 ,07 ,08 [N14-109(56-109)]",3,,,33,45,0
교양선택,전학년,0911002-11,차이와 비판적 사고,문안나,"금01 ,02 ,03 [N14-109(56-109)]",3,,,30,45,2.13
교양선택,전학년,0911001-12,역사와 비판적 사고,김다솜,"월05 ,06 ,07 [N14-108(56-108)]",3,,,39,45,0
교양선택,전학년,0911002-12,차이와 비판적 사고,최원호,"수07 ,08 ,09 [N16-1-125(58-125)]",3,,,54,45,4.67
교양선택,전학년,0911001-13,역사와 비판적 사고,박승권,"월07 ,08 ,09 [N13-304(59-304)]",3,,,42,45,4.07
교양선택,전학년,0911002-13,차이와 비판적 사고,박정연,"금01 ,02 ,03 [N13-104(59-104)]",3,,,27,45,2.64
교양선택,전학년,0911001-14,역사와 비판적 사고,박승권,"목04 ,05 ,06 [N13-104(59-104)]",3,,,40,45,4.12
교양선택,전학년,0911002-14,차이와 비판적 사고,박권수,"수07 ,08 ,09 [N14-108(56-108)]",3,,,31,45,3.11
교양선택,전학년,0911001-15,역사와 비판적 사고,양희진,"목07 ,08 ,09 [N14-109(56-109)]",3,,,42,45,3.7
교양선택,전학년,0911002-15,차이와 비판적 사고,박승권,"월02 ,03 ,04 [N14-102(56-102)]",3,,,41,45,4.11
교양선택,전학년,0911001-16,역사와 비판적 사고,양희진,"목04 ,05 ,06 [N14-207(56-207)]",3,,,39,45,3.7
교양선택,전학년,0911002-16,차이와 비판적 사고,이경희,"금05 ,06 ,07 [N15-245(57-245)]",3,,,36,45,3.33
교양선택,전학년,0911001-17,역사와 비판적 사고,문안나,"목07 ,08 ,09 [N14-704(56-704)]",3,,,34,45,0
교양선택,전학년,0911002-17,차이와 비판적 사고,조주영,"수07 ,08 ,09 [N7-407]",3,,,47,45,4.5
교양선택,전학년,0911002-18,차이와 비판적 사고,황은영,"금01 ,02 ,03 [N15-245(57-245)]",3,,,41,45,0
교양선택,전학년,0911002-19,차이와 비판적 사고,신은경,"금01 ,02 ,03 [N14-207(56-207)]",3,,,44,45,3.71
교양선택,전학년,0914001-01,컴퓨팅 사고력 기르기,신윤환,"월05 ,06 ,07 [N13-121(59-121)]",3,,,44,45,2.77
교양선택,전학년,0914002-01,기초컴퓨터프로그래밍,홍장의,"월06 ,07 [E9-271(학연271)] 수07 ,08 [E8-7-440(50-440)]",3,,,41,40,4.33
교양선택,전학년,0914006-01,정보기술 프로그래밍(Python 프로그래밍),이춘희,"월02 ,03 [E8-7-440(50-440)] 수01 ,02 [S2-102(32-102)]",3,,,35,40,0
교양선택,전학년,0914001-02,컴퓨팅 사고력 기르기,오명륜,"목06 ,07 ,08 [S21-4-246(92-246)]",3,,,39,45,4.25
교양선택,전학년,0914002-02,기초컴퓨터프로그래밍,이의종,"월06 ,07 [E9-241(학연241)] 수06 ,07 [E8-7-435(50-435)]",3,,,44,40,4
교양선택,전학년,0914006-02,정보기술 프로그래밍(Python 프로그래밍),구미숙,"월02 ,03 [E8-7-435(50-435)] 수06 ,07 [E9-241(학연241)]",3,,,45,40,0
