강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,강의평점,수강인원,수강정원
전공선택,4학년,5342032-01,프랑스의 정치와 사회,고봉만,월01 수04 금09 [N16-1-228(58-228)],3,,,1,50
전공선택,4학년,5342033-01,프랑스와 유럽공동체,김경석,"월07 ,08 ,09 [N16-1-227(58-227)]",3,,,11,50
전공선택,4학년,5342037-01,프랑스어권 아프리카 지역연구,김지혜,"화05 ,06 목04 [N16-1-227(58-227)]",3,,,2,50
전공필수,1학년,5963322-01,물리이야기,강병원,금05 [S1-1-336(40-336)],1,,,39,80
전공필수,2학년,5963001-01,기초물리실험,김경호,"화01 ,02 ,03 ,04 [S1-1-148(40-148)]",2,,,23,50
전공필수,2학년,5963001-02,기초물리실험,김경호,"목01 ,02 ,03 ,04 [S1-1-148(40-148)]",2,,,17,50
전공필수,2학년,5963002-01,일반역학 I,이연의,"화07 ,08 목05 [S1-1-336(40-336)]",3,,,36,80
전공선택,2학년,5963004-01,수리물리학 I,민병준,"월06 수02 ,03 [S1-1-336(40-336)]",3,,,32,80
전공선택,2학년,5963011-01,현대물리학,이현석,"월08 ,09 화09 [S1-1-239(40-239)]",3,,,35,80
전공선택,2학년,5963024-01,과학과 논리 및 논술,김경완,"금02 ,03 [S1-1-336(40-336)]",2,,,37,80
전공선택,3학년,5963009-01,전자기학 II,김기웅,"화06 목07 ,08 [S1-1-336(40-336)]",3,,,27,80
전공필수,3학년,5963012-01,양자역학 I,강병원,"월02 ,03 수05 [S1-1-336(40-336)]",3,,,42,80
전공선택,3학년,5963014-01,광학,강현구,"금01 ,02 ,03 [S1-1-245(40-245)]",3,,,30,70
전공필수,3학년,5963309-01,열 및 통계역학 I,김동현,"월07 ,08 ,09 [S1-1-336(40-336)]",3,,,39,80
전공선택,3학년,5963318-01,첨단기기실험(캡스톤디자인),김가현,"화01 ,02 ,03 ,04 [S1-1-231(40-231)]",2,,,20,20
전공선택,3학년,5963318-02,첨단기기실험(캡스톤디자인),김가현,"수01 ,02 ,03 ,04 [S1-1-231(40-231)]",2,,,13,20
전공선택,3학년,5963319-01,전산물리학,유영상,"수08 ,09 목02 ,03 [S1-2-108(41-108)]",3,,,30,48
전공선택,4학년,5963027-01,상대론과 우주론,김정한,"수04 ,05 ,06 [S1-1-245(40-245)]",3,,,22,70
전공선택,4학년,5963036-01,원자핵물리학,김정한,"목05 ,06 ,07 [S1-1-245(40-245)]",3,,,17,70
